,server_name,point_winner,num_shot,how,Service,tension_score,10_last_ALCARAZ,serve_side,SINNER_avg_vx,SINNER_avg_vy,SINNER_max_vx,SINNER_max_vy,SINNER_avg_v,SINNER_max_v,SINNER_avg_power,SINNER_max_power,ALCARAZ_avg_vx,ALCARAZ_avg_vy,ALCARAZ_max_vx,ALCARAZ_max_vy,ALCARAZ_avg_v,ALCARAZ_max_v,ALCARAZ_avg_power,ALCARAZ_max_power,SINNER_avg_speed,SINNER_max_speed,SINNER_avg_depth,SINNER_lift_pct,SINNER_avg_laterality,SINNER_speed_std,SINNER_depth_std,SINNER_laterality_std,ALCARAZ_avg_speed,ALCARAZ_max_speed,ALCARAZ_avg_depth,ALCARAZ_lift_pct,ALCARAZ_avg_laterality,ALCARAZ_speed_std,ALCARAZ_depth_std,ALCARAZ_laterality_std,ALCARAZ__service_speed,ALCARAZ__service_laterality,ALCARAZ__service_depth,SINNER__service_speed,SINNER__service_laterality,SINNER__service_depth,service_int,serve_side_int,server_name_int,target,pred_prob_alcaraz,momentum_point_alcaraz,momentum_point_sinner,momentum_smooth_alcaraz,momentum_smooth_sinner,rolling_momentum_alcaraz
314,ALCARAZ,ALCARAZ,9,WINNER,2nd Serve,72,40.0,Right,7.761093750000001,7.960446428571429,18.23399999999999,22.68,16.722584669173113,31.70271569573652,212.69386423220976,798.6159999999995,4.524308035714285,3.6731249999999998,11.16,9.593999999999992,7.588356384190374,13.392472515417825,41.82787531210986,136.24999999999977,119.64358685879932,140.9750138127142,67.45898190997055,100.0,28.61482381530984,19.797182862748304,8.843442428595328,17.194376303869877,118.97787382608007,149.20283316716484,62.68405553218342,75.0,70.04860267314703,48.45921244946471,31.37687835481347,23.942572494647923,151.69745895738822,51.88335358444714,69.86729117876659,0.0,0.0,0.0,2,1,1,1,0.9914977,0.9829954,-0.9829954,0.21827329941433232,-0.21827329941433232,0.02161164879798889
315,ALCARAZ,SINNER,6,WINNER,1st Serve,67,50.0,Right,6.795816062176166,8.21417098445596,15.84,20.79,18.102754270910655,35.36757986457956,170.35786829126778,653.6139999999982,7.261398963730572,4.5760103626943005,17.19,12.51,10.291262784705435,18.145053244214402,63.39966818973021,208.79999999999976,140.5311499517104,148.5507022600353,88.24849249754591,33.33333333333333,76.75172134467395,7.872287224336385,10.239605631793408,22.903069662803542,76.47154174168122,88.14898229845518,92.80605805637359,100.0,45.808019441069256,16.51439480919536,7.4369665669599,15.465275894724002,175.39580875758656,79.82989064398542,73.30210772833723,0.0,0.0,0.0,1,1,1,0,0.034186378,-0.9316273,0.9316273,-0.011706815180448266,0.011706815180448266,0.02452380061149597
317,ALCARAZ,ALCARAZ,6,ERROR,1st Serve,80,40.0,Right,10.76524844720497,7.3602484472049685,22.680000000000003,20.747999999999994,19.309578685177097,32.520988021547296,192.65513801811218,762.5279999999993,3.3795652173913053,6.9678260869565225,8.981999999999994,20.880000000000003,9.770588413086124,22.089891504455778,88.97163444792756,315.0999999999997,115.10332692819276,121.24341956561213,73.32772402187632,0.0,22.600243013365734,8.683402282065673,18.562668551131914,26.290969021030808,125.3080796550577,142.99238230121006,70.59318468657972,50.0,82.98906439854193,25.00938064329908,1.3684018483206133,3.780400774265862,190.59150988245617,77.15674362089915,103.43481654957066,0.0,0.0,0.0,1,1,1,1,0.98477954,0.9695591,-0.9695591,0.1845463625452777,-0.1845463625452777,0.06930568814277649
318,ALCARAZ,ALCARAZ,2,RETURN WINNER,1st Serve,72,40.0,Right,4.9350000000000005,11.405526315789476,12.654,27.138,15.933069180700508,27.88361387517859,224.13939682539683,914.4055555555555,5.2650000000000015,4.431315789473685,12.095999999999998,16.055999999999997,10.291719768404276,21.339628416442743,119.16200396825396,476.27499999999884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.09851150242926,86.63426488456865,97.50195160031225,0.0,0.0,0.0,1,1,1,1,0.97295344,0.9459069,-0.9459069,0.33681846553976225,-0.33681846553976225,0.06852991580963134
319,ALCARAZ,ALCARAZ,3,WINNER,2nd Serve,67,50.0,Right,4.145142857142858,9.104000000000001,11.160000000000002,24.552,13.664767780328848,26.079977928555852,161.17835103485842,506.95531250000033,3.958,4.426571428571429,9.0,10.44,7.639424826721403,12.14455257811177,46.287649782135084,149.24999999999991,110.39356188173167,110.39356188173167,41.10222970130417,0.0,0.3645200486026731,0.0,0.0,0.0,159.11811821626964,159.11811821626964,77.1140092553639,100.0,64.03402187120292,0.0,0.0,0.0,155.93030088815485,62.575941676792226,97.34582357533176,0.0,0.0,0.0,2,1,1,1,0.9933808,0.98676157,-0.98676157,0.4668070864271712,-0.4668070864271712,0.16377572417259217
320,SINNER,SINNER,6,ERROR,2nd Serve,77,60.0,Right,4.4165625,8.31075,11.52,20.898000000000007,14.849180897299743,28.55973295267238,179.49018094987736,746.1999999999998,5.087999999999999,4.0014375,12.24,10.079999999999998,8.504864737803691,15.711663597151501,40.88863696109359,140.14999999999995,123.81440895704182,126.95501557014565,58.4350021034918,0.0,60.02430133657351,4.441488466330054,11.899146507135844,27.66566021167294,132.2039635028933,139.01655634067993,79.04922170803533,100.0,48.8456865127582,9.634461186123685,3.569743952140757,30.758715390617738,0.0,0.0,0.0,151.9098463324676,20.291616038882136,84.5433255269321,2,1,0,0,0.069413684,-0.8611726,0.8611726,0.20121114584538072,-0.20121114584538072,0.07221057713031769
321,SINNER,ALCARAZ,6,WINNER,1st Serve,67,50.0,Left,5.708018018018018,9.450270270270272,14.903999999999993,25.343999999999994,26.190916807355396,37.86826910581048,162.7282681235372,758.0560000000007,5.924234234234235,3.9773873873873873,14.040000000000001,11.52,8.930473890101212,16.33714999459498,57.95124684343435,181.45000000000013,82.91998217700493,90.8640938766031,63.69373159444679,50.0,64.6415552855407,11.234670506578537,17.194266702811294,45.53664569002068,83.74014001711673,128.75189955874876,52.65741130276259,33.33333333333333,57.79667881733496,39.0423274316947,35.83503915863293,41.402469852784655,0.0,0.0,0.0,202.91471623941572,78.85783718104496,100.46838407494145,1,0,0,1,0.9615598,0.92311954,-0.92311954,0.3455928256728867,-0.3455928256728867,0.07095417082309723
322,SINNER,SINNER,8,ERROR,2nd Serve,67,60.0,Right,5.761092233009709,7.22876213592233,14.4,18.84599999999999,14.257745221792554,29.40381242263997,149.82974088562892,624.7279999999992,7.305910194174757,4.7386893203883504,14.561999999999996,14.040000000000003,10.873430978913511,21.4347987192365,86.59308357104048,322.99999999999955,111.2816421348361,136.4266838221118,67.5501332211471,33.33333333333333,28.392061563385983,23.78761309577561,11.166299240445543,15.273797630996985,154.32928843662336,168.32536501250152,92.82008133501614,50.0,49.0481976508708,17.665300650104033,12.595777259939265,36.697700394707795,0.0,0.0,0.0,145.2067231835856,28.311057108140947,71.89695550351288,2,1,0,0,0.10444748,-0.79110503,0.79110503,0.11825325414487668,-0.11825325414487668,0.07554225325584411
323,SINNER,ALCARAZ,6,WINNER,2nd Serve,67,60.0,Left,5.841999162128194,6.335806451612904,18.0,19.080000000000002,15.74527626226049,32.9359128712304,110.47668156288157,447.7345599999998,6.883020527859238,3.7496480938416425,19.8,12.599999999999998,9.133655258256383,20.907844059853726,70.2387255506246,318.96249999999986,121.08406999053514,141.19015032379895,77.61884728649558,50.0,71.81044957472662,28.43429149346464,1.6658805109990205,21.651386252613605,121.10447342027169,133.73473659392982,63.53947552937877,66.66666666666666,61.92790603483192,13.319589532685404,10.781813082516184,26.416271974407152,0.0,0.0,0.0,128.07444128595063,66.22114216281896,67.52537080405932,2,0,0,1,0.91848135,0.8369627,-0.8369627,0.26199514329392876,-0.26199514329392876,0.07568020820617676
324,SINNER,SINNER,3,WINNER,1st Serve,77,60.0,Right,3.3792857142857144,10.17548076923077,7.92,21.50742857142857,16.02820106458089,30.402121205059576,184.30992285197908,693.6799999999998,6.071250000000001,3.795288461538462,11.52,7.92,8.213700398736249,13.752744019029246,38.509711908690875,112.24999999999997,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.9505704054011,25.15188335358445,84.07494145199064,1,1,0,0,0.009861373,-0.98027724,0.98027724,0.013540666579875606,-0.013540666579875606,0.0762114554643631
